URL,Bezirk,Minuspunkte,Note,RestaurantName,pubDate,Adresse
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/151,"Berlin - Charlottenburg-Wilmersdorf
","

  
 26
",zufriedenstellend,Cooking Papa,"Wed, 14 Dec 2011 00:00:00 +0100","Wilmersdorfer Str. 72, 10629 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/149,"Berlin - Charlottenburg-Wilmersdorf
","

  
 17
",gut,PIZZERIA ITALIA,"Thu, 12 Jan 2012 00:00:00 +0100","Uhlandstr. 104-105, 10717 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/147,"Berlin - Charlottenburg-Wilmersdorf
","

  
 11
",gut,Ganda,"Mon, 19 Dec 2011 00:00:00 +0100","Neue Kantstr. 16, 14057 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/145,"Berlin - Charlottenburg-Wilmersdorf
","

  
 2
",gut,Sportpark Triftal,"Tue, 21 Feb 2012 00:00:00 +0100","Glockenturmstr. 40, 14055 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/143,"Berlin - Charlottenburg-Wilmersdorf
","

  
 10
",gut,El Toro I,"Mon, 05 Dec 2011 00:00:00 +0100","Bismarckstr. 90, 10627 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/141,"Berlin - Charlottenburg-Wilmersdorf
","

  
 11
",gut,Thermen am Europa-Center,"Thu, 24 Nov 2011 00:00:00 +0100","Nürnberger Str. 7, 10787 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/139,"Berlin - Charlottenburg-Wilmersdorf
","

  
 34
",zufriedenstellend,Manzini,"Thu, 08 Dec 2011 00:00:00 +0100","Ludwigkirchstr. 11, 10719 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/137,"Berlin - Charlottenburg-Wilmersdorf
","

  
 19
",gut,Vino y Mar,"Mon, 17 Oct 2011 00:00:00 +0200","Emser Str. 43, 10719 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/135,"Berlin - Charlottenburg-Wilmersdorf
","

  
 3
",gut,Julep's,"Wed, 14 Dec 2011 00:00:00 +0100","Giesebrechtstr. 3, 10629 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/133,"Berlin - Charlottenburg-Wilmersdorf
","

  
 11
",gut,Timeless,"Mon, 19 Mar 2012 00:00:00 +0100","Kaiserin-Augusta-Allee 92, 10589 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/131,"Berlin - Charlottenburg-Wilmersdorf
","

  
 15
",gut,Petrocelli,"Wed, 30 Nov 2011 00:00:00 +0100","Kurfürstendamm 36, 10719 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/129,"Berlin - Charlottenburg-Wilmersdorf
","

  
 7
",gut,Dal Buongustaio,"Wed, 16 Nov 2011 00:00:00 +0100","Windscheidstr. 24, 10627 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/127,"Berlin - Charlottenburg-Wilmersdorf
","

  
 7
",gut,Brasserie Le Paris,"Tue, 06 Dec 2011 00:00:00 +0100","Kurfürstendamm 211, 10719 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/125,"Berlin - Charlottenburg-Wilmersdorf
","

  
 17
",gut,Kori & Fay,"Thu, 24 Nov 2011 00:00:00 +0100","Kurfürstendamm 64-65, 10707 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/123,"Berlin - Charlottenburg-Wilmersdorf
","

  
 7
",gut,Leibniz Klause,"Tue, 27 Mar 2012 00:00:00 +0200","Mommsenstr. 57, 10629 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/121,"Berlin - Charlottenburg-Wilmersdorf
","

  
 9
",gut,Restaurant auLac,"Mon, 26 Mar 2012 00:00:00 +0200","Lietzenseeufer 11, 14057 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/119,"Berlin - Charlottenburg-Wilmersdorf
","

  
 3
",gut,blisse 14,"Tue, 13 Mar 2012 00:00:00 +0100","Blissestr. 14, 10713 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/117,"Berlin - Charlottenburg-Wilmersdorf
","

  
 16
",gut,Mylos,"Wed, 16 Nov 2011 00:00:00 +0100","Holtzendorffstr. 20, 14057 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/115,"Berlin - Charlottenburg-Wilmersdorf
","

  
 2
",gut,Enoiteca IL.Calice,"Mon, 24 Oct 2011 00:00:00 +0200","Walter-Benjamin-Platz 4, 10629 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/113,"Berlin - Charlottenburg-Wilmersdorf
","

  
 1
",gut,Hienerwadel,"Thu, 22 Sep 2011 00:00:00 +0200","Reichsstr. 87, 14052 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/111,"Berlin - Charlottenburg-Wilmersdorf
","

  
 38
",zufriedenstellend,Luardi,"Mon, 07 Nov 2011 00:00:00 +0100","Meinekestr. 24, 10719 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/109,"Berlin - Charlottenburg-Wilmersdorf
",,sehr gut,Zillemarkt,"Wed, 07 Mar 2012 00:00:00 +0100","Bleibtreustr. 48 a, 10623 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/107,"Berlin - Charlottenburg-Wilmersdorf
","

  
 7
",gut,Restaurant Cafe Bleibtreu,"Wed, 07 Mar 2012 00:00:00 +0100","Bleibtreustr. 45, 10623 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/105,"Berlin - Charlottenburg-Wilmersdorf
",,sehr gut,Mittendrin,"Tue, 14 Feb 2012 00:00:00 +0100","Pestalozzistr. 83, 10625 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/103,"Berlin - Charlottenburg-Wilmersdorf
","

  
 5
",gut,Klub am Rupenhorn,"Wed, 26 Sep 2012 00:00:00 +0200","Havelchaussee 119, 14055 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/101,"Berlin - Charlottenburg-Wilmersdorf
","

  
 7
",gut,Gabiko,"Thu, 29 Mar 2012 00:00:00 +0200","Paulsborner Str. 94, 10709 Berlin"
http://www.berlin.de/sen/verbraucherschutz/lebensmittel-ernaehrung/kontrollergebnisse/betriebssuche/index.de.php/detail/99,"Berlin - Charlottenburg-Wilmersdorf
","

  
 7
",gut,Sushi Berlin,"Mon, 07 May 2012 00:00:00 +0200","Bismarckstr. 100, 10625 Berlin"
